district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Rajshahi,Rajshahi University,24.37135,88.63686,0,0,0,0,10,26,7,0,6,0,0,1,5,8,0,0,3.0,0.45,0.35,1.0,0.0,0.5,1.0,58.25
Rajshahi,Shaheb Bazar,24.37443,88.603999,0,6,5,8,62,8,0,0,4,1,1,4,3,0,0,9,0.222,0.45,0.85,0.6,0.4,0.367,0.074,39.49
Rangamati,Rangamati Bus Terminal,22.639584,92.187462,0,1,3,9,12,0,2,0,0,0,0,1,0,0,0,0,3.0,0.45,0.85,0.1,0.0,0.067,1.0,26.25
Rangamati,Rangamati General Hospital,22.657828,92.169253,0,0,0,0,12,1,0,0,1,0,0,0,5,1,2,0,3.0,0.45,0.35,0.1,0.0,0.267,1.0,36.75
Rangamati,Rangamati Reserve Bazar,22.660852,92.155507,0,0,3,0,0,0,1,0,1,0,0,0,7,0,0,0,3.0,0.45,0.475,0.1,0.0,0.233,1.0,34.38
Rangamati,Rangamati Sadar,22.758512,92.240249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rangamati,Tabalchhari,22.758512,92.240249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rangpur,Paira Chattar,25.98605,88.64031,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,3.0,0.45,0.35,0.3,0.0,0.0,1.0,36.75
Rangpur,Rangpur Central Bus Terminal,25.743527,89.232016,0,1,0,2,4,12,0,0,6,4,0,2,5,2,2,3,0.233,0.45,0.475,0.9,0.8,0.433,0.078,60.15
Rangpur,Rangpur Medical College,25.766614,89.234041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rangpur,Rangpur Railway Station,25.716374,89.246063,0,0,1,1,9,0,1,0,3,0,0,0,4,3,1,1,1.604,0.45,0.433,0.2,0.0,0.267,0.535,32.85
Satkhira,New Market Satkhira,23.103767,89.103267,0,0,0,0,10,0,0,0,1,0,1,5,2,0,0,1,0.794,0.45,0.35,0.05,0.2,0.4,0.265,34.4
Satkhira,Satkhira Bus Terminal,23.058182,88.9994,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,3.0,0.45,0.35,0.05,0.0,0.133,1.0,33.75
Satkhira,Satkhira Govt College,22.710339,89.085439,0,0,1,18,4,0,0,0,0,0,0,3,2,0,0,4,1.199,0.45,0.85,0.0,0.0,0.267,0.4,21.25
Satkhira,Satkhira Sadar,22.70817,89.07185,0,1,12,31,7,0,2,0,2,0,0,7,10,0,1,4,0.374,0.45,0.85,0.2,0.0,0.833,0.125,31.0
Satkhira,Satkhira Sadar Hospital,22.73,89.03,0,0,0,0,5,0,1,0,12,0,0,0,0,0,0,0,3.0,0.45,0.35,0.65,0.0,0.0,1.0,43.75
Shariatpur,Shariatpur Govt College,23.203138,90.33729,0,1,0,0,12,0,0,0,0,0,0,0,0,2,0,1,2.085,0.45,0.392,0.0,0.0,0.067,0.695,28.07
Shariatpur,Shariatpur Sadar,23.21,90.35,0,2,0,0,19,9,2,0,0,0,0,0,0,4,5,1,0.977,0.45,0.433,0.55,0.0,0.3,0.326,38.26
Sherpur,Sherpur Sadar,25.01881,90.01751,0,3,2,13,6,0,0,0,3,0,0,3,11,7,12,1,0.371,0.45,0.85,0.15,0.0,1.0,0.124,32.49
Tangail,Nirala Mor,24.24984,89.91655,0,3,0,5,53,5,6,0,2,0,0,1,13,13,9,3,0.446,0.45,0.683,0.65,0.0,1.0,0.149,45.24
Tangail,Tangail Bus Terminal,24.26829,89.924927,0,1,0,1,43,5,1,0,0,1,0,0,2,2,11,3,0.865,0.45,0.433,0.3,0.2,0.5,0.288,39.88
Tangail,Tangail General Hospital,24.26397,89.925263,0,1,0,5,38,11,2,0,0,1,0,0,2,2,25,3,0.902,0.45,0.6,0.65,0.2,0.967,0.301,51.51
Tangail,Tangail Railway Station,24.246758,89.913734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Tangail,Tangail Sadar,24.24984,89.91655,0,3,0,5,53,5,6,0,2,0,0,1,13,13,9,3,0.446,0.45,0.683,0.65,0.0,1.0,0.149,45.24
Thakurgaon,Thakurgaon Bus Terminal,25.982627,88.264886,0,0,2,2,1,0,0,0,1,1,0,0,8,1,0,0,3.0,0.45,0.517,0.05,0.2,0.3,1.0,37.75
Thakurgaon,Thakurgaon Govt College,26.039175,88.452484,0,2,0,1,4,0,0,0,4,0,0,0,5,0,0,1,1.001,0.45,0.475,0.2,0.0,0.167,0.334,28.71
Thakurgaon,Thakurgaon Modern Sadar Hospital,26.029535,88.476383,0,2,1,0,5,0,2,1,0,0,0,1,7,0,3,1,1.622,0.45,0.475,0.15,0.0,0.4,0.541,33.28
Thakurgaon,Thakurgaon Railway Station,26.04025,88.42651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Thakurgaon,Thakurgaon Sadar,26.03097,88.46989,0,2,0,0,9,0,4,0,0,0,0,1,10,0,2,1,0.964,0.45,0.433,0.2,0.0,0.467,0.321,33.71
Sirajganj,Sirajganj Bus Terminal,24.4449,89.6946,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,2,1.593,0.45,0.392,0.05,0.0,0.0,0.531,26.44
Sylhet,Ambarkhana,24.897194,91.87024,0,1,10,3,44,4,2,0,2,0,0,4,73,8,3,2,0.732,0.45,0.85,0.4,0.0,1.0,0.244,38.69
Sunamganj,Sunamganj Bus Terminal,25.0734,91.4035,0,1,1,0,16,1,0,0,3,0,0,0,0,0,0,0,3.0,0.45,0.433,0.2,0.0,0.0,1.0,33.5
Bagerhat,Kachua Bagerhat,22.65657,89.79123,0,2,3,26,2,0,1,0,1,1,1,1,9,5,0,3,0.329,0.45,0.85,0.1,0.4,0.533,0.11,32.35
Bandarban,Ruma Bazar,22.04924,92.40925,0,0,2,0,7,0,1,0,0,0,0,0,0,2,1,0,3.0,0.45,0.433,0.05,0.0,0.1,1.0,32.0
Dhaka,Bailey Road,23.7387,90.4074,0,30,3,9,32,29,16,0,0,1,0,0,71,8,5,43,0.264,0.45,0.85,1.0,0.2,1.0,0.088,53.13
Dhaka,Farmgate,23.7576,90.3906,27,0,2,4,28,13,1,4,1,3,2,4,20,12,5,39,0.218,0.9,0.6,0.95,1.0,1.0,0.073,62.73
Dhaka,Shahbagh,23.738,90.3958,0,2,5,0,11,43,35,7,0,2,2,1,52,3,18,42,0.106,0.45,0.642,1.0,0.8,1.0,0.035,67.73
Dhaka,Dhanmondi,23.7461,90.3742,19,0,8,0,47,2,33,2,0,0,0,0,21,28,13,33,0.669,0.877,0.683,1.0,0.0,1.0,0.223,44.43
Dhaka,Mirpur 10,23.8067,90.3686,25,15,0,8,164,7,7,2,1,2,1,9,484,26,14,13,0.044,0.9,0.85,0.85,0.6,1.0,0.015,48.4
Dhaka,Mohammadpur,23.7657,90.3589,0,0,2,5,138,6,0,0,4,0,0,3,144,17,6,20,0.445,0.45,0.642,0.5,0.0,1.0,0.148,42.86
Sherpur,Sherpur Bus Terminal,24.62699,91.677764,0,0,0,4,3,0,0,0,5,1,0,0,4,0,0,0,3.0,0.45,0.517,0.25,0.2,0.133,1.0,39.25
Sherpur,Sherpur District Hospital,25.078668,90.078157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Sherpur,Sherpur Govt College,25.021136,90.011934,0,3,1,6,11,0,0,0,2,0,0,3,14,4,5,1,0.292,0.45,0.767,0.1,0.0,0.967,0.097,31.97
Sirajganj,Kodda Mor,24.45771,89.70802,0,0,4,1,30,1,2,0,0,0,0,1,4,3,3,2,0.708,0.45,0.558,0.15,0.0,0.4,0.236,28.98
Sirajganj,Sirajganj Railway Station,24.458175,89.700978,0,0,1,0,28,3,0,0,0,0,0,1,1,3,0,2,0.01,0.45,0.392,0.15,0.0,0.2,0.003,26.16
Sirajganj,Sirajganj Sadar,24.45771,89.70802,0,0,4,1,30,1,2,0,0,0,0,1,4,3,3,2,0.708,0.45,0.558,0.15,0.0,0.4,0.236,28.98
Sunamganj,Hasan Raja Museum,25.071053,91.392639,0,1,0,0,26,0,0,0,1,0,0,0,0,0,0,1,2.585,0.45,0.392,0.05,0.0,0.0,0.862,29.74
Sunamganj,Sunamganj Govt College,25.065227,91.392753,0,1,0,0,29,2,0,0,1,0,0,0,0,1,0,1,1.945,0.45,0.392,0.15,0.0,0.033,0.648,30.11
Sunamganj,Sunamganj Sadar,25.06889,91.40243,0,1,1,0,27,0,1,0,1,0,0,0,0,0,0,1,2.663,0.45,0.433,0.1,0.0,0.0,0.888,30.38
Sylhet,Bandar Bazar Sylhet,24.850564,92.140145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Sylhet,Sylhet MAG Osmani Medical College,24.900577,91.853376,0,0,0,5,65,14,1,0,1,0,0,0,0,2,2,2,0.799,0.45,0.558,0.8,0.0,0.133,0.266,38.29
Sylhet,Tilagor,24.896191,91.899531,0,1,0,1,45,4,0,0,1,1,0,2,16,6,0,1,1.135,0.45,0.433,0.25,0.2,0.867,0.378,45.28
Sylhet,Zindabazar,24.89904,91.87198,0,2,10,3,48,3,2,0,0,0,0,1,26,7,3,2,0.967,0.45,0.85,0.25,0.0,1.0,0.322,36.47
Dhaka,Uttara,23.8724,90.3953,0,0,11,11,100,1,4,0,0,0,0,1,18,3,2,8,0.806,0.45,0.85,0.25,0.0,0.833,0.269,33.44
Dhaka,Bashundhara R/A,23.8151,90.4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dhaka,Airport Road,23.8516,90.4086,0,0,0,1,19,48,2,5,2,3,2,0,59,1,0,7,0.155,0.45,0.392,1.0,1.0,1.0,0.052,75.64
Dhaka,Khilgaon,23.7509,90.4253,0,7,0,2,104,14,5,4,3,0,0,1,8,23,3,30,0.012,0.45,0.725,1.0,0.0,1.0,0.004,50.16
Dhaka,Malibagh,23.7471,90.4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dhaka,Rampura,23.7639,90.4217,0,15,5,3,118,8,6,1,0,1,0,0,28,4,0,25,0.422,0.45,0.85,0.75,0.2,1.0,0.141,48.66
Dhaka,Badda,23.7801,90.426,0,11,0,2,100,5,12,1,2,0,0,1,204,6,3,17,0.976,0.45,0.85,1.0,0.0,1.0,0.325,51.5
Dhaka,Motijheel,23.733,90.4172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dhaka,Paltan,23.7362,90.4142,0,25,6,4,67,17,7,4,1,0,0,2,72,0,1,42,0.449,0.45,0.85,1.0,0.0,1.0,0.15,49.75
Dhaka,Wari,23.7115,90.4177,0,2,3,14,47,0,6,2,7,0,0,8,156,21,0,27,0.09,0.45,0.85,0.75,0.0,1.0,0.03,43.55
Dhaka,Jatrabari,23.7104,90.4349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dhaka,Sadarghat,23.7104,90.4074,0,4,9,11,81,15,11,0,5,2,0,4,94,16,4,27,0.052,0.45,0.85,1.0,0.4,1.0,0.017,56.42
Dhaka,Lalbagh,23.7189,90.3881,0,0,13,5,19,42,3,0,3,0,0,0,20,6,0,27,0.681,0.45,0.85,1.0,0.0,0.867,0.227,48.52
Dhaka,New Market,23.7332,90.3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dhaka,Elephant Road,23.7389,90.3865,0,0,8,11,50,14,8,1,4,0,0,8,937,18,10,43,0.333,0.45,0.85,1.0,0.0,1.0,0.111,49.36
Dhaka,Tejgaon,23.7631,90.4003,0,18,6,14,9,10,4,0,5,1,0,0,4,4,1,38,0.252,0.45,0.85,0.95,0.2,0.3,0.084,41.59
Chattogram,GEC Circle,22.3597,91.8215,0,14,0,3,98,1,12,0,1,12,0,0,39,11,10,16,0.72,0.45,0.85,0.7,1.0,1.0,0.24,64.65
Chattogram,2 No Gate,22.3626,91.8239,0,21,0,2,125,1,34,0,0,0,0,1,57,12,15,17,0.354,0.45,0.85,1.0,0.0,1.0,0.118,49.43
Chattogram,Agrabad,22.3251,91.8123,0,0,2,5,35,1,58,0,8,0,0,4,43,9,3,15,1.485,0.45,0.642,1.0,0.0,1.0,0.495,56.33
Chattogram,New Market Chattogram,22.3355,91.8317,0,7,8,6,41,13,21,1,9,1,1,7,84,12,2,12,0.582,0.45,0.85,1.0,0.4,1.0,0.194,58.19
Chattogram,Chawkbazar,22.3562,91.8372,0,7,15,7,80,0,11,0,0,0,0,2,22,7,3,16,0.249,0.45,0.85,0.55,0.0,1.0,0.083,40.08
Chattogram,Anderkilla,22.3374,91.8368,0,2,16,5,46,5,17,0,8,1,0,2,26,7,1,13,0.193,0.45,0.85,1.0,0.2,1.0,0.064,52.89
Chattogram,Kotwali,22.3371,91.8376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chattogram,Lalkhan Bazar,22.3516,91.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chattogram,Muradpur,22.367,91.831,0,8,0,1,102,6,1,1,2,0,1,0,21,8,10,12,0.359,0.45,0.725,0.5,0.2,1.0,0.12,45.32
Chattogram,Bahaddarhat,22.3727,91.8447,0,4,0,6,34,0,4,1,2,0,0,2,23,0,0,9,0.275,0.45,0.767,0.35,0.0,0.9,0.092,35.92
Chattogram,Pahartali,22.3678,91.7854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chattogram,Halishahar,22.3333,91.7817,0,0,0,5,31,15,16,1,25,0,0,1,3,4,0,12,0.906,0.45,0.558,1.0,0.0,0.3,0.302,45.15
Chattogram,EPZ Chattogram,22.2922,91.7814,0,2,0,5,13,18,8,0,0,0,0,6,33,6,0,6,0.141,0.45,0.642,1.0,0.0,1.0,0.047,51.84
Chattogram,Patenga,22.2359,91.7918,0,12,0,0,1,7,1,1,10,0,0,2,2,1,0,1,2.84,0.45,0.85,0.95,0.0,0.233,0.947,45.22
Chattogram,Karnaphuli,22.2985,91.881,0,0,0,0,3,0,8,0,23,0,0,0,1,0,0,1,1.324,0.45,0.35,1.0,0.0,0.033,0.441,45.66
Chattogram,Nasirabad,22.3732,91.8109,0,2,2,2,40,5,0,0,7,0,0,0,1,6,0,10,1.242,0.45,0.6,0.6,0.0,0.233,0.414,36.64
Chattogram,Khulshi,22.364,91.8064,0,0,2,0,36,7,7,0,7,0,0,0,3,6,2,15,0.41,0.45,0.433,1.0,0.0,0.367,0.137,46.37
Chattogram,Sholoshahar,22.366,91.82,0,12,0,0,130,0,49,0,0,0,0,1,32,7,0,14,0.401,0.45,0.85,1.0,0.0,1.0,0.134,49.59
Chattogram,Oxygen Mor,22.3847,91.8226,0,0,0,1,82,0,0,0,3,0,0,0,3,0,0,10,0.731,0.45,0.392,0.15,0.0,0.1,0.244,27.06
Chattogram,Bayezid,22.3905,91.8225,0,3,2,0,43,1,0,0,8,2,0,1,8,0,0,5,0.81,0.45,0.558,0.45,0.4,0.333,0.27,42.33
Chattogram,Akbar Shah,22.3802,91.7758,0,0,0,0,38,1,0,0,7,0,0,0,1,0,0,6,0.786,0.45,0.35,0.4,0.0,0.033,0.262,31.87
Chattogram,Foy's Lake,22.3727,91.7974,0,0,0,0,36,0,6,0,13,0,0,0,0,0,0,9,1.648,0.45,0.35,0.95,0.0,0.0,0.549,45.24
Chattogram,Tigerpass,22.3439,91.8189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chattogram,Dewanhat,22.3334,91.8177,0,0,17,1,46,3,0,0,5,1,0,0,60,17,1,14,0.847,0.45,0.85,0.4,0.2,1.0,0.282,43.07
Chattogram,CRB,22.347,91.8214,0,7,16,3,32,17,8,3,5,0,0,0,24,3,0,18,0.765,0.45,0.85,1.0,0.0,0.9,0.255,49.3
Chattogram,Mehedibag,22.3514,91.8313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chattogram,Panchlaish,22.3594,91.8377,0,5,15,10,95,0,12,0,0,0,0,2,26,15,11,16,0.251,0.45,0.85,0.6,0.0,1.0,0.084,41.09
Chattogram,WASA Circle,22.3573,91.8212,0,14,0,3,60,1,1,0,2,13,0,0,32,11,9,15,0.984,0.45,0.85,0.2,1.0,1.0,0.328,55.53
Chattogram,Chittagong University,22.4716,91.789,0,0,1,6,2,23,9,0,1,0,0,0,11,1,0,0,3.0,0.45,0.642,1.0,0.0,0.4,1.0,52.38
Mymensingh,Mymensingh Town Hall,24.7471,90.4203,0,8,2,1,29,2,0,0,5,3,0,0,7,3,2,1,1.424,0.45,0.808,0.35,0.6,0.4,0.475,43.62
Mymensingh,Ganginarpar,24.754,90.4072,0,0,3,9,51,0,22,0,10,2,1,3,36,9,1,2,0.656,0.45,0.85,1.0,0.6,1.0,0.219,62.44
Mymensingh,Charpara,24.742,90.407,0,0,2,2,45,25,1,0,5,0,0,0,2,7,13,1,1.82,0.45,0.517,1.0,0.0,0.733,0.607,55.32
Mymensingh,Maskanda,24.7306,90.4038,0,0,2,3,11,0,0,0,2,0,0,0,1,2,0,0,3.0,0.45,0.558,0.1,0.0,0.1,1.0,31.12
Mymensingh,Kewatkhali,24.7336,90.427,0,0,3,4,14,10,0,0,4,0,0,0,0,2,0,0,3.0,0.45,0.642,0.7,0.0,0.067,1.0,41.38
Mymensingh,Shambhuganj,24.7587,90.4552,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3.0,0.45,0.392,0.05,0.0,0.0,1.0,31.12
Mymensingh,Patgudam,24.7473,90.4098,0,0,5,2,46,15,8,0,2,0,0,0,12,1,23,2,1.178,0.45,0.642,1.0,0.0,1.0,0.393,55.3
Mymensingh,BAU Campus,24.7202,90.4261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Mymensingh,Mymensingh Railway Station,24.752,90.3952,0,0,1,4,88,0,0,0,0,0,0,0,0,0,0,2,1.587,0.45,0.558,0.0,0.0,0.0,0.529,22.91
Mymensingh,Sadar Upazila,24.7539,90.4073,0,0,3,9,51,0,22,0,10,2,1,3,35,9,1,2,0.655,0.45,0.85,1.0,0.6,1.0,0.218,62.43
Mymensingh,Mymensingh Medical College,24.7437,90.4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Mymensingh,Kachari Road,24.756,90.4077,0,0,3,11,51,1,15,0,9,2,1,3,37,9,0,2,0.5,0.45,0.85,1.0,0.6,1.0,0.167,61.92
Mymensingh,Notun Bazar,24.7522,90.4044,0,0,3,1,64,0,9,0,4,1,0,0,38,4,6,2,1.002,0.45,0.517,0.65,0.2,1.0,0.334,53.59
Mymensingh,College Road,24.7529,90.4071,0,0,2,6,47,0,22,0,10,2,1,2,37,4,6,2,0.745,0.45,0.683,1.0,0.6,1.0,0.248,65.23
Mymensingh,Akua,24.7375,90.3881,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,3.0,0.45,0.35,0.0,0.0,0.1,1.0,32.25
Mymensingh,Kalibari Road,24.7513,90.411,0,0,0,8,45,2,21,0,2,1,1,1,2,1,4,2,0.718,0.45,0.683,1.0,0.4,0.3,0.239,50.64
Mymensingh,Sankipara,24.7557,90.3976,0,0,5,3,82,1,0,4,2,0,0,0,11,5,1,2,1.243,0.45,0.683,0.35,0.0,0.567,0.414,35.39
Mymensingh,Kristopur,24.7503,90.3994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Mymensingh,Boro Bazar,24.7537,90.4086,0,0,3,11,48,0,24,0,9,2,1,3,34,7,0,2,0.577,0.45,0.85,1.0,0.6,1.0,0.192,62.17
Mymensingh,Zilla School Mor,24.7521,90.4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bagerhat,Bagerhat Bus Terminal,22.64636,89.793045,0,1,1,10,1,0,0,0,4,0,0,0,0,3,0,3,0.844,0.45,0.85,0.2,0.0,0.1,0.281,21.56
Bagerhat,Bagerhat Railway Station,22.64636,89.793045,0,1,1,10,1,0,0,0,4,0,0,0,0,3,0,3,0.844,0.45,0.85,0.2,0.0,0.1,0.281,21.56
Brahmanbaria,Brahmanbaria Railway Station,23.952855,91.116351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chandpur,Chandpur Bus Stand,23.265305,90.753564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chapai Nawabganj,Chapai Nawabganj Bus Terminal,24.588301,88.285887,0,0,0,2,3,0,0,0,1,2,0,0,1,2,1,3,1.196,0.45,0.433,0.05,0.4,0.133,0.399,34.49
Dinajpur,Dinajpur Medical College,25.609708,88.657449,0,3,0,1,11,8,14,0,4,0,0,1,1,0,3,0,3.0,0.45,0.517,1.0,0.0,0.2,1.0,51.25
Gaibandha,Gaibandha Bus Terminal,25.282664,89.354263,0,1,1,0,12,0,0,0,1,0,0,4,14,4,3,1,0.216,0.45,0.433,0.05,0.0,0.967,0.072,35.72
Gopalganj,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,22.96587,89.817329,49,1,0,0,1,24,0,0,1,0,0,2,17,2,0,0,3.0,0.9,0.392,1.0,0.0,0.767,1.0,52.62
Jashore,Jashore Medical College,23.167894,89.209835,0,0,0,10,89,0,8,0,26,0,0,0,42,6,15,3,0.482,0.45,0.767,1.0,0.0,1.0,0.161,51.11
Jhalokati,Jhalokati Govt College,22.64943,90.19868,0,0,2,0,8,0,0,0,7,0,0,0,2,1,0,1,1.181,0.45,0.433,0.35,0.0,0.1,0.394,31.94
Natore,Kanaikhali,24.412191,88.988952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Kurigram,Kurigram Bus Terminal,25.8118,89.6341,0,0,0,2,3,2,3,0,10,1,0,0,13,1,0,0,3.0,0.45,0.433,0.75,0.2,0.467,1.0,55.5
Netrokona,Netrokona Adhunik Sadar Hospital,24.8717,90.7322,0,3,3,3,16,4,0,0,4,0,0,3,4,6,1,3,0.404,0.45,0.725,0.4,0.0,0.567,0.135,32.97
Noakhali,Noakhali Science and Technology University,22.650711,92.196229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Pirojpur,Pirojpur Bus Stand,22.57965,89.97521,0,0,3,2,15,7,0,0,4,0,0,0,0,1,1,1,0.331,0.45,0.558,0.55,0.0,0.067,0.11,30.73
Pirojpur,Pirojpur District Hospital,22.322182,89.970315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Pirojpur,Pirojpur Sadar,22.57965,89.97521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rangpur,Jahaj Company Mor,25.749327,89.254813,0,0,2,5,20,4,1,0,1,0,0,5,13,6,1,3,0.497,0.45,0.642,0.3,0.0,1.0,0.166,39.03
Shariatpur,Shariatpur Sadar Hospital,23.211776,90.348444,0,2,0,0,22,7,2,0,0,0,0,0,0,5,5,1,0.77,0.45,0.433,0.45,0.0,0.333,0.257,36.07
Sherpur,New Market Sherpur,25.016595,90.013971,0,4,3,13,7,0,0,0,2,0,0,3,10,4,5,1,0.507,0.45,0.85,0.1,0.0,0.833,0.169,29.44
Sunamganj,Sunamganj Sadar Hospital,25.065123,91.410647,0,0,0,0,43,2,1,0,2,0,0,0,0,0,1,1,2.856,0.45,0.35,0.25,0.0,0.033,0.952,35.77
Magura,Magura Govt Huseyn Shaheed Suhrawardy College,23.4891,89.4199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Natore,Natore Modern Sadar Hospital,24.4139,88.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Sirajganj,Sirajganj 250 Bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital,24.45771,89.70802,0,0,4,1,30,1,2,0,0,0,0,1,4,3,3,2,0.708,0.45,0.558,0.15,0.0,0.4,0.236,28.98
Barishal,Rupatali Bus Terminal,22.6748,90.3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bandarban,Lama Bazar,21.7774,92.1949,0,0,1,2,0,0,0,0,6,1,0,1,0,1,0,1,0.718,0.45,0.475,0.3,0.2,0.1,0.239,32.77
Bandarban,Rowangchhari,22.19534,92.21946,0,4,0,0,13,0,1,0,15,0,0,1,1,6,0,1,0.334,0.45,0.517,0.8,0.0,0.3,0.111,39.86
Barguna,Amtali,22.29623,90.08884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.627,0.45,0.35,0.0,0.0,0.0,0.542,26.17
Barguna,Bamna,22.185542,90.136217,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3.0,0.45,0.35,0.15,0.0,0.0,1.0,33.75
Barguna,Betagi,22.41529,90.16333,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,3.0,0.45,0.392,0.05,0.0,0.033,1.0,31.62
Barguna,Patharghata,22.04349,89.97137,0,0,2,2,18,1,0,0,4,0,0,0,0,4,0,1,0.155,0.45,0.517,0.25,0.0,0.133,0.052,25.77
Barguna,Taltali,22.185542,90.136217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Barishal,Amanatganj,22.730897,90.377817,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,2,1.774,0.45,0.392,0.25,0.0,0.0,0.591,31.04
Barishal,Banglabazar Barishal,22.70497,90.37013,0,7,7,5,74,14,3,0,7,0,0,0,12,5,5,4,0.248,0.45,0.85,1.0,0.0,0.733,0.083,45.08
Barishal,C and B Road Barishal,24.368339,88.581116,0,0,3,3,54,25,9,0,0,0,0,0,0,7,15,16,0.107,0.45,0.6,1.0,0.0,0.733,0.036,48.36
