district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Kushtia,Kushtia Railway Station,23.890863,89.113085,0,2,0,1,16,0,0,0,2,2,0,1,3,2,0,3,0.096,0.45,0.475,0.1,0.4,0.233,0.032,32.7
Kushtia,Kushtia Sadar,23.9028,89.11943,0,0,0,0,28,0,1,0,4,0,0,1,3,5,2,3,0.417,0.45,0.35,0.25,0.0,0.4,0.139,33.14
Kushtia,Majampur Gate,23.9028,89.11943,0,0,0,0,28,0,1,0,4,0,0,1,3,5,2,3,0.417,0.45,0.35,0.25,0.0,0.4,0.139,33.14
Lakshmipur,Lakshmipur Sadar,22.9443,90.83005,0,5,0,0,25,0,0,0,2,0,0,1,1,0,0,0,3.0,0.45,0.558,0.1,0.0,0.1,1.0,31.12
Lakshmipur,Lakshmipur Sadar Hospital,22.95,90.825,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Lakshmipur,North Temuhani,22.9443,90.83005,0,5,0,0,25,0,0,0,2,0,0,1,1,0,0,0,3.0,0.45,0.558,0.1,0.0,0.1,1.0,31.12
Lalmonirhat,Lalmonirhat Bus Terminal,25.90507,89.433924,0,0,0,0,15,0,0,0,1,1,0,1,4,2,0,2,0.154,0.45,0.35,0.05,0.2,0.267,0.051,30.26
Lalmonirhat,Lalmonirhat Sadar,25.91719,89.44595,0,3,5,8,8,2,2,0,0,0,0,0,3,2,0,2,1.653,0.45,0.85,0.2,0.0,0.167,0.551,25.26
Lalmonirhat,Lalmonirhat Sadar Hospital,25.89035,89.47849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Lalmonirhat,Mishon Mor,23.848265,90.292382,0,0,0,2,41,2,2,0,2,0,0,0,0,0,0,0,3.0,0.45,0.433,0.3,0.0,0.0,1.0,35.5
Madaripur,Madaripur Launch Ghat,23.17097,90.20935,0,1,1,1,12,0,0,0,0,1,0,0,1,3,2,0,3.0,0.45,0.475,0.0,0.2,0.2,1.0,35.88
Madaripur,Madaripur Sadar,23.17097,90.20935,0,1,1,1,12,0,0,0,0,1,0,0,1,3,2,0,3.0,0.45,0.475,0.0,0.2,0.2,1.0,35.88
Madaripur,Madaripur Sadar Hospital,23.165413,90.211774,0,1,0,1,8,0,1,0,0,1,0,0,0,1,4,0,3.0,0.45,0.433,0.05,0.2,0.167,1.0,37.0
